Symbol,Fund Name,Asset Class,Mgmt Fee (%),AUM ($),Prev. Close ($),Avg Daily Vol (30D),Inception Date
IIMF,Invesco International Developed Dynamic-Multifactor Index ETF,Equity,-,80622500,,8600,-
IIMF.F,Invesco International Developed Dynamic-Multifactor Index ETF,Equity,-,14110000,,383,-
ILGB,IA Clarington Loomis Global Multisector Bond Fund,Fixed Income,-,19054161.459999997,,7215,-
INAI,Invesco Morningstar Global Next Gen AI Index ETF,Equity,-,25052625,,4545,-
INAI.F,Invesco Morningstar Global Next Gen AI Index ETF,Equity,-,18963000,,2482,-
INCM,Accelerate Diversified Credit Income Fund,Equity,-,58040750,,18767,-
INCM.B,Accelerate Diversified Credit Income Fund,Equity,-,29165500,,48945,-
INCM.U,Accelerate Diversified Credit Income Fund,Equity,-,42781000,,5304,-
INFR,Ninepoint Global Infrastructure Fund,Equity,-,3384000,,385,-
INGS,ING CDR (CAD Hedged),-,-,12852000.000000002,,989,-
INOC,Global X Inovestor Canadian Equity Index ETF,Equity,-,34018566.53,,2387,-
INTY,Evolve International Equity UltraYield ETF,Equity,-,18786200,,32513,-
IQD,CI International Quality Dividend Growth Index ETF,Equity,-,148818022.64,,23619,-
IQD.B,CI International Quality Dividend Growth Index ETF,Equity,-,198149200,,18010,-
ISCB,IA Clarington Strategic Corporate Bond Fund,Fixed Income,-,5425000,,2399,-
ISIF,IA Clarington Strategic Income Fund,Asset Allocation,-,2324000,,277,-
IUAE,Invesco S&P US Dividend Aristocrats ESG Index ETF,Equity,-,1267500,,145,-
IUAE.F,Invesco S&P US Dividend Aristocrats ESG Index ETF,Equity,-,18555000,,301,-
IUFR.U,Invesco US Treasury Floating Rate Note Index ETF (USD),Fixed Income,-,8789760,,7006,-
IUMF,Invesco Russell 1000 Dynamic-Multifactor Index ETF,Equity,-,112130200,,5162,-
IUMF.F,Invesco Russell 1000 Dynamic-Multifactor Index ETF,Equity,-,12778300,,3069,-
IWBE,Invesco ESG Global Bond ETF,Fixed Income,-,27820400,,2741,-
IWEB,IA Wealth Enhanced Bond Pool,Fixed Income,-,1513400,,193,-
JAPN,CI Japan Equity Index ETF,Equity,-,40402800,,8709,-
JAPN.B,CI Japan Equity Index ETF,Equity,-,701558000,,76063,-
JAVA,JPMorgan US Value Active ETF,Equity,-,24291000,,11715,-
JBND,JPMorgan US Bond Active ETF,Fixed Income,-,225860800,,128733,-
JCOR,JPMorgan US Core Active ETF,Equity,-,58594500,,10942,-
JEPI,JPMorgan US Equity Premium Income Active ETF,Equity,-,316890000,,189442,-
JEPQ,JPMorgan Nasdaq Equity Premium Income Active ETF,Equity,-,151335000,,134241,-
JGLO,JPMorgan Global Select Equity Active ETF,Equity,-,46758999.99999999,,5520,-
JGRO,JPMorgan US Growth Active ETF,Equity,-,27241500,,11499,-
JIDE,JPMorgan International Developed Equity Active ETF,Equity,-,17806500,,5540,-
JNJY,Harvest JnJ Enhanced High Income Shares ETF,Single Stock ETF,-,1929000,,1032,-
JPHE,Harvest JPHE Enhanced High Income Shares ETF,Single Stock ETF,-,1869000,,7520,-
JPST,JPMorgan US Ultra-Short Income Active ETF,Fixed Income,-,24870000,,5425,-
KILO,Purpose Gold Bullion Fund,Commodity,-,590942947.14,,165945,-
KILO.B,Purpose Gold Bullion Fund,Commodity,-,378736304,,66414,-
KILO.U,Purpose Gold Bullion Fund,Commodity,-,31860000.000000004,,5819,-
KNGC,Brompton Canadian Cash Flow Kings ETF,Equity,-,10086000,,6704,-
KNGU,Brompton U.S. Cash Flow Kings ETF,Equity,-,12693999.999999998,,9140,-
KNGX,Brompton International Cash Flow Kings ETF,Equity,-,9296000,,14867,-
LBIT,Evolve Levered Bitcoin ETF,Cryptocurrency,-,3030750,,8893,-
LBIT.U,Evolve Levered Bitcoin ETF,Cryptocurrency,-,455000,,107,-
LEAD,Evolve Future Leadership Fund,Equity,-,12830999.999999998,,6702,-
LEAD.B,Evolve Future Leadership Fund,Equity,-,3794000,,751,-
LEAD.U,Evolve Future Leadership Fund,Equity,-,2596250,,823,-
LETH,Evolve Levered Ether ETF,Cryptocurrency,-,1297500,,2055,-
LETH.U,Evolve Levered Ether ETF,Cryptocurrency,-,582500,,187,-
LIFE,Evolve Global Healthcare Enhanced Yield Fund,Equity,-,267524955.96,,82166,-
LIFE.B,Evolve Global Healthcare Enhanced Yield Fund,Equity,-,33255320,,2289,-
LIFE.U,Evolve Global Healthcare Enhanced Yield Fund,Equity,-,13340753.14,,1751,-
LLHE,Harvest Eli Lilly Enhanced High Income Shares ETF,Single Stock ETF,-,170141250,,202242,-
LLHE.U,Harvest Eli Lilly Enhanced High Income Shares ETF,Single Stock ETF,-,5071500,,4388,-
LLYH,Harvest Eli Lilly High Income Shares ETF,Single Stock ETF,-,30125000,,13348,-
LLYH.U,Harvest Eli Lilly High Income Shares ETF,Single Stock ETF,-,1811250,,1598,-
LMAX,Hamilton Healthcare YIELD MAXIMIZER TM ETF,Equity,-,172782217.5,,84380,-
LMT,Lockheed Martin CDR (CAD Hedged),-,-,34668000,,58417,-
LONG,CI Global Longevity Economy Fund,Equity,-,4026000,,2,-
LORL,L'Oréal CDR (CAD Hedged),-,-,1293500,,144,-
LPAY,Global X Long-Term U.S. Treasury Premium Yield ETF,Fixed Income,-,22645723.8,,11493,-
LPAY.U,Global X Long-Term U.S. Treasury Premium Yield ETF,Fixed Income,-,16660782.510000002,,7170,-
LVMH,LVMH CDR (CAD Hedged),-,-,3096000,,2363,-
LYCT,Lysander-Canso Corporate Treasury ActivETF,Fixed Income,-,23933000,,7402,-
LYFR,Lysander-Canso Floating Rate ActivETF,Fixed Income,-,5566000,,4600,-
LYUV.U,Lysander-Canso U.S. Corporate Value Bond Fund,Fixed Income,-,4554000,,8168,-
MAAA,Mackenzie AAA CLO ETF,Fixed Income,-,164920000,,16251,-
MAGV,Mackenzie Global Value ETF,Equity,-,4870000,,9313,-
MALX,Mackenzie GQE US Alpha Extension ETF,Equity,-,10136500,,13962,-
MART,Global X Equal Weight Canadian Groceries & Staples Index ETF,Equity,-,12747000,,3175,-
MAUG,Mackenzie US All Cap Growth ETF,Equity,-,4995000,,7696,-
MAUV,Mackenzie US Value ETF,Equity,-,5045000,,7555,-
MAYB.F,First Trust Vest U.S. Equity Buffer ETF - May,Equity,-,37320000,,3883,-
MBAL,Mackenzie Balanced Allocation ETF,Asset Allocation,-,186151000,,36590,-
MBQG,Mackenzie GQE Global Balanced ETF,Equity,-,977000,,1727,-
MCAD,Premium Cash Management Fund,Cash/Currency,-,72543500,,87931,-
MCAN,Manulife Canadian Equity Class,Equity,-,1158000,,4089,-
MCLC,Manulife Multifactor Canadian Large Cap Index ETF,Equity,-,518692000,,42676,-
MCLV,Mackenzie GQE Canada Low Volatility ETF,Equity,-,144891250,,29442,-
MCON,Mackenzie Conservative Allocation ETF,Asset Allocation,-,31499000,,8330,-
MCOR,Manulife Core Plus Bond Fund,Fixed Income,-,1268750,,56,-
MCSB,Mackenzie Canadian Short Term Fixed Income ETF,Fixed Income,-,38922000,,14409,-
MCSM,Manulife Multifactor Canadian SMID Cap Index ETF,Equity,-,405240000.00000006,,5406,-
MCYC,Mackenzie Cyclical Tilt ETF,Equity,-,2160000,,603,-
MDEF,Mackenzie Defensive Tilt ETF,Equity,-,2093000,,282,-
MDIF,Manulife Dividend Income Fund,Equity,-,1137600,,124,-
MDIV,Middlefield Global Dividend Growers ETF,Equity,-,56855145.44,,2424,-
MEDX,Global X Equal Weight Global Healthcare Index ETF,Equity,-,2171000,,3205,-
MEME.B,Manulife Multifactor Emerging Markets Index ETF,Equity,-,535892500,,42295,-
MEQT,Mackenzie All-Equity Allocation ETF,Equity,-,21364000,,6508,-
METE,Harvest Meta Enhanced High Income Shares ETF,Single Stock ETF,-,106929000,,67750,-
MFT,Mackenzie Floating Rate Income ETF,Fixed Income,-,329517000,,154521,-
MFUN,Manulife Fundamental Equity Fund,Equity,-,9980750,,2643,-
MGAB,Mackenzie Global Fixed Income Allocation ETF,Asset Allocation,-,5127000,,474,-
MGB,Mackenzie Core Plus Global Fixed Income ETF,Fixed Income,-,106127999.99999999,,21644,-
MGDV,Mackenzie Global Dividend ETF,Equity,-,370719000,,53109,-
MGEQ,Manulife Global Equity Class ETF,Equity,-,-,,256,-
MGQE,Mackenzie GQE Global Equity ETF,Equity,-,349906750,,163670,-
MGRW,Mackenzie Growth Allocation ETF,Asset Allocation,-,65305500.00000001,,13548,-
MHCD,Middlefield Healthcare Dividend ETF,Equity,-,146827800.54000002,,36087,-
MHDC,Mackenzie Canadian High Dividend Yield ETF,Equity,-,4832000,,2611,-
MHDU,Mackenzie US High Dividend Yield ETF,Equity,-,4508000,,6011,-
MIDB,Evolve Enhanced Yield Mid Term Bond Fund,Fixed Income,-,13896067.830000002,,5522,-
MIDB.B,Evolve Enhanced Yield Mid Term Bond Fund,Fixed Income,-,764829.58,,0,-
MIDB.U,Evolve Enhanced Yield Mid Term Bond Fund,Fixed Income,-,472250,,0,-
MINF,Middlefield Global Infrastructure Dividend ETF,Equity,-,22389683.029999997,,1395,-
MINT,Manulife Multifactor Developed International Index ETF,Equity,-,45060000,,3246,-
MINT.B,Manulife Multifactor Developed International Index ETF,Equity,-,194386500,,19606,-
MIQE,Mackenzie GQE International Equity ETF,Equity,-,1156456000,,618274,-
MIVG,Mackenzie Ivy Global Equity ETF,Equity,-,26383000,,951,-
MIX,Hamilton Enhanced Mixed Asset ETF,Equity,-,21724506.05,,12854,-
MKB,Mackenzie Canadian Strategic Fixed Income ETF,Fixed Income,-,918242499.9999999,,169262,-
MNS,Royal Canadian Mint - Canadian Silver Reserves Exchange-Traded Receipts,-,-,276488119.98,,59837,-
MNS.U,Royal Canadian Mint - Canadian Silver Reserves Exchange-Traded Receipts,-,-,201781453.4,,911,-
MNT,Royal Canadian Mint - Canadian Gold Reserves Exchange-Traded Receipts,-,-,1341127844.98,,118223,-
MNT.U,Royal Canadian Mint - Canadian Gold Reserves Exchange-Traded Receipts,-,-,976684940.6600001,,4365,-
MNU.U,Purpose USD Cash Management Fund,Cash/Currency,-,197737000,,40126,-
MNXT,Mackenzie Bluewater Next Gen Growth ETF,Equity,-,11825000,,3021,-
MNY,Purpose Cash Management Fund,Cash/Currency,-,1701360000,,339299,-
MOAT,Moat Active Premium Yield ETF,Equity,-,3144000,,3719,-
MORE,Mackenzie Core Resources ETF,Equity,-,65394000,,24962,-
MPAY,Global X Mid-Term U.S. Treasury Premium Yield ETF,Fixed Income,-,125294534.64,,36633,-
MPAY.U,Global X Mid-Term U.S. Treasury Premium Yield ETF,Fixed Income,-,92338398.9,,1483,-
MPY,Mulvihill Premium Yield Fund,Equity,-,16560000,,3343,-
MREL,Middlefield Real Estate Dividend ETF,Equity,-,154937707.5,,46183,-
MSBP,Middlefield Short Duration Bond Plus ETF,Fixed Income,-,45250000,,157494,-
MSFH,Harvest Microsoft High Income Shares ETF,Single Stock ETF,-,30889249.999999996,,80710,-
MSFH.U,Harvest Microsoft High Income Shares ETF,Single Stock ETF,-,4408000,,3128,-
MSFU,SavvyLong (2X) MSFT ETF,Single Stock ETF,-,7804500,,69491,-
MSHE,Harvest Microsoft Enhanced High Income Shares ETF,Single Stock ETF,-,103787500,,127732,-
MSHE.U,Harvest Microsoft Enhanced High Income Shares ETF,Single Stock ETF,-,2625000,,5350,-
MSI,iShares S&P/TSX Capped Materials Index,-,-,-,,-,-
MSTE,Harvest Strategy Inc. Enhanced High Income Shares ETF,Single Stock ETF,-,304584000,,2472027,-
MSTU,LFG Daily (2X) MSTR Long ETF,Single Stock ETF,-,4769187.5,,101124,-
MSTY,Harvest Strategy Inc. High Income Shares ETF,Single Stock ETF,-,52851500,,284808,-
MSTZ,SavvyShort (-2X) MSTR ETF,Single Stock ETF,-,895044.7499999999,,31588,-
MTBA,Mackenzie Target 2027 North American IG Corporate Bond ETF,Fixed Income,-,5047500,,131,-
MTBB,Mackenzie Target 2029 North American IG Corporate Bond ETF,Fixed Income,-,5072500,,0,-
MTRX,Global X Artificial Intelligence Infrastructure Index ETF,Equity,-,30260000,,27615,-
MUB,Mackenzie Unconstrained Bond ETF,Fixed Income,-,1167688000,,243088,-
MUL,Mackenzie US Low Volatility ETF,-,-,-,,-,-
MULC,Manulife Multifactor U.S. Large Cap Index ETF,Equity,-,11764000,,1129,-
MULC.B,Manulife Multifactor U.S. Large Cap Index ETF,Equity,-,175960000.00000003,,28704,-
MULV,Mackenzie GQE US Low Volatility ETF,Equity,-,55656000,,7448,-
MUMC,Manulife Multifactor U.S. Mid Cap Index ETF,Equity,-,12332500,,2081,-
MUMC.B,Manulife Multifactor U.S. Mid Cap Index ETF,Equity,-,67574000,,3640,-
MUSA,Middlefield U.S. Equity Dividend ETF,Equity,-,44555310.84,,1570,-
MUSC,Manulife Multifactor U.S. Small Cap Index ETF,Equity,-,3740000,,955,-
MUSC.B,Manulife Multifactor U.S. Small Cap Index ETF,Equity,-,2318000,,16,-
MUSD.U,US Premium Cash Management Fund,Cash/Currency,-,10023000,,1577,-
MWLV,Mackenzie GQE World Low Volatility ETF,Equity,-,397318237.85,,51823,-
NALT,NBI Liquid Alternatives ETF,Alternative,-,206142000,,33499,-
NBAL,Ninepoint Balanced+ Fund,Asset Allocation,-,1130000,,227,-
NBCU,SavvyLong 2X NBC (NA) Equity-Linked ETF,Single Stock ETF,-,3632500,,469,-
NBGE,NBI Global Equity Fund,Equity,-,1336400,,4042,-
NBGE.F,NBI Global Equity Fund,Equity,-,1044000,,500,-
NBIE,NBI International Equity Fund,Equity,-,1072000,,276,-
NBIE.F,NBI International Equity Fund,Equity,-,1066000,,204,-
NBQC,NBI Quebec Growth Fund,Equity,-,1019999.9999999999,,1261,-
NBSC,NBI Global Small Cap Fund,Equity,-,936000,,196,-
NBSC.F,NBI Global Small Cap Fund,Equity,-,1000000,,20,-
NBUE,NBI U.S. Equity Fund,Equity,-,1402500,,3189,-
NBUE.F,NBI U.S. Equity Fund,Equity,-,967000,,1010,-
NCAP,Ninepoint Capital Appreciation Fund ETF,Single Stock ETF,-,-,,-,-
NCPB,NBI Canadian Core Plus Bond Fund,Fixed Income,-,63872000,,12900,-
NDIV,NBI Canadian Dividend Income ETF,Equity,-,18731200,,338,-
NFLY,Harvest Netflix Enhanced High Income Shares ETF,Single Stock ETF,-,84297999.99999999,,67383,-
NGDN,SavvyShort Geared Natural Gas ETF,Leverage/Inverse,-,-,,-,-
NGPE,NBI Global Private Equity ETF,Equity,-,394771999.99999994,,2790,-
NGUP,SavvyLong Geared Natural Gas ETF,Leverage/Inverse,-,-,,-,-
NHYB,NBI High Yield Bond ETF,Fixed Income,-,1426852500,,71612,-
NINT,NBI Active International Equity ETF,Equity,-,765530400,,26546,-
NINV,NBI Innovators Fund,Equity,-,955000.0000000001,,157,-
NINV.F,NBI Innovators Fund,Equity,-,1014000,,24,-
NMNG,Ninepoint Mining Evolution Fund,Equity,-,10400400,,37739,-
NOVB.F,First Trust Vest U.S. Equity Buffer ETF - November,Equity,-,44028000,,3596,-
NOVO,Novo Nordisk CDR (CAD Hedged),-,-,16260000.000000002,,29456,-
NOVY,Harvest Novo Enhanced High Income Shares ETF,Single Stock ETF,-,2648000,,24045,-
NPRF,NBI Active Canadian Preferred Shares ETF,Preferred Share,-,162687000,,10858,-
NREA,NBI Global Real Assets Income Fund,Equity,-,1744197000,,44020,-
NRGD,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,Leverage/Inverse,-,2618764.58,,66353,-
NRGU,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,Leverage/Inverse,-,43894893,,183732,-
NRGY,Global X Equal Weight Canadian Oil & Gas Index ETF,Equity,-,328189919.44,,73494,-
NSCB,NBI Sustainable Canadian Bond ETF,Fixed Income,-,2885836250,,64884,-
NSCC,NBI Sustainable Canadian Corporate Bond ETF,Fixed Income,-,155722000,,12505,-
NSCE,NBI Sustainable Canadian Equity ETF,Equity,-,2157894000,,205481,-
NSDI,NBI SmartData International Equity Fund,Equity,-,152768000,,344732,-
NSDI.F,NBI SmartData International Equity Fund,Equity,-,1120000,,547,-
NSDU,NBI SmartData U.S. Equity Fund,Equity,-,2026000.0000000002,,3332,-
NSDU.F,NBI SmartData U.S. Equity Fund,Equity,-,1043000,,16,-
NSGE,NBI Sustainable Global Equity ETF,Equity,-,173902500,,183849,-
NSSB,NBI Sustainable Canadian Short Term Bond ETF,Fixed Income,-,47380000,,9769,-
NSTL,Nestlé CDR (CAD Hedged),-,-,2422000,,492,-
NTGA,NBI Target 2026 Investment Grade Bond Fund,Fixed Income,-,4052000.0000000005,,2035,-
NTGB,NBI Target 2027 Investment Grade Bond Fund,Fixed Income,-,3352800,,647,-
NTGC,NBI Target 2028 Investment Grade Bond Fund,Fixed Income,-,3155800,,420,-
NTGD,NBI Target 2029 Investment Grade Bond Fund,Fixed Income,-,1010000,,109,-
NTGE,NBI Target 2030 Investment Grade Bond Fund,Fixed Income,-,5823199.999999999,,771,-
NTGF,NBI Target 2031 Investment Grade Bond Fund,Fixed Income,-,3954600,,2988,-
NUBF,NBI Unconstrained Fixed Income ETF,Fixed Income,-,2952500500,,119492,-
NUSA,NBI Active U.S. Equity ETF,Equity,-,87250800,,12406,-
NUSA.F,NBI Active U.S. Equity ETF,Equity,-,989000,,24,-
NVDD,SavvyShort (-2X) NVDA ETF,Single Stock ETF,-,1800000,,20724,-
NVDH,Harvest NVIDIA High Income Shares ETF,Single Stock ETF,-,30931500.000000004,,32480,-
NVDH.U,Harvest NVIDIA High Income Shares ETF,Single Stock ETF,-,3390750,,5902,-
NVDU,SavvyLong (2X) NVDA ETF,Single Stock ETF,-,10976000,,84194,-
NVHE,Harvest NVIDIA Enhanced High Income Shares ETF,Single Stock ETF,-,187329375,,423712,-
NVHE.U,Harvest NVIDIA Enhanced High Income Shares ETF,Single Stock ETF,-,5985000,,16667,-
NXF,CI Energy Giants Covered Call ETF,Equity,-,128300411.91000001,,191599,-
NXF.B,CI Energy Giants Covered Call ETF,Equity,-,31734136.909999996,,17534,-
NXF.U,CI Energy Giants Covered Call ETF,Equity,-,3774000,,4749,-
NXTG,First Trust Indxx NextG ETF,Equity,-,1457100,,381,-
OILD,SavvyShort Geared Crude Oil ETF,Leverage/Inverse,-,2700375,,12286,-
OILU,SavvyLong Geared Crude Oil ETF,Leverage/Inverse,-,12525500,,16811,-
OILY,Evolve Canadian Energy Enhanced Yield Index Fund,Equity,-,20900000,,50003,-
ONEB,CI North American Core Plus Bond ETF,Fixed Income,-,86345000,,2686,-
ONEC,Accelerate OneChoice Alternative Multi-Asset Fund,Alternative,-,24816000,,4070,-
ONEQ,CI Global Core Plus Equity ETF,Equity,-,51730000,,1185,-
ORCY,Harvest Oracle Enhanced High Income Shares ETF,Single Stock ETF,-,5106250,,35938,-
PABF,Purpose Active Balanced Fund,Asset Allocation,-,237625500,,33215,-
PACF,Purpose Active Conservative Fund,Asset Allocation,-,63937249.99999999,,8636,-
PAGF,Purpose Active Growth Fund,Asset Allocation,-,197113500,,87444,-
PAYF,Purpose Enhanced Premium Yield Fund,Alternative,-,51171000,,8221,-
PAYL,Global X Long-Term Government Bond Premium Yield ETF,Fixed Income,-,1783267.4499999997,,1078,-
PAYM,Global X Mid-Term Government Bond Premium Yield ETF,Fixed Income,-,13852869.399999999,,2569,-
PAYS,Global X Short-Term Government Bond Premium Yield ETF,Fixed Income,-,90460768.67999999,,65745,-
PBAL,PIMCO Managed Balanced Portfolio,Asset Allocation,-,1479000,,2747,-
PBD,Purpose Total Return Bond Fund,Fixed Income,-,13894200.87,,1169,-
PBI,Purpose Best Ideas Fund,Equity,-,9950059.84,,1166,-
PBI.B,Purpose Best Ideas Fund,Equity,-,3624572.7,,56,-
PCON,PIMCO Managed Conservative Bond Pool,Fixed Income,-,20424000,,4248,-
PCOR,PIMCO Managed Core Bond Pool,Fixed Income,-,371276000,,126616,-
PDC,Invesco Canadian Dividend Index ETF,Equity,-,949031190.0000001,,48431,-
PDF,Purpose Core Dividend Fund,Equity,-,220217092.82000002,,8519,-
PDIV,Purpose Enhanced Dividend Fund,Equity,-,86680616.39999999,,56614,-
PFAA,PICTON Multi-Strategy Alpha Alternative Fund,Alternative,-,350850150,,99653,-
PFAE,PICTON Long Short Equity (130/30) Alternative Fund,Alternative,-,34068000,,29934,-
PFCB,PICTON Core Bond Fund,Alternative,-,78810000,,41227,-
PFCO,PICTON Credit Opportunities Alternative Fund,Alternative,-,44603700,,36399,-
PFIA,PICTON  Long Short Income  Alternative Fund,Alternative,-,460857600,,278896,-
PFIG,PICTON Investment Grade Alternative Fund,Alternative,-,1747800.0000000002,,912,-
PFIN,PICTON Income Fund,Alternative,-,77652600,,159299,-
PFL,Invesco Canadian Government Floating Rate Index ETF,Fixed Income,-,250061000,,102955,-
PFLS,PICTON Long Short Equity Alternative Fund,Alternative,-,127927200,,45136,-
PFMN,PICTON Market Neutral Equity Alternative Fund,Alternative,-,580885480,,193396,-
PFMS,PICTON Multi-Strategy Alternative Fund,Alternative,-,12387200,,11614,-
PFSS,Picton Credit Opportunities Alternative ETF,Alternative,-,-,,-,-
PHE,Purpose Tactical Hedged Equity Fund,Alternative,-,4431636,,2041,-
PHE.B,Purpose Tactical Hedged Equity Fund,Alternative,-,23314024,,3170,-
PHR,Purpose Real Estate Income Fund,Equity,-,6626750,,154,-
PHW,Purpose International Enhanced Equity Income Fund,Alternative,-,1403915.4,,8772,-
PID,Purpose International Dividend Fund,Equity,-,158840000,,23683,-
PIN,Purpose Monthly Income Fund,Asset Allocation,-,8377681.510000001,,2279,-
PINC,Purpose Multi-Asset Income Fund,Asset Allocation,-,61322578.75,,1923,-
PINV,Purpose Global Innovators Fund,Equity,-,1286500,,44,-
PLDI,PIMCO Low Duration Monthly Income Fund (Canada),Fixed Income,-,52780000.00000001,,29901,-
PLTE,Harvest Palantir Enhanced High Income Shares ETF,Single Stock ETF,-,162927750,,243856,-
PMIF,PIMCO Monthly Income Fund (Canada),Fixed Income,-,4459399750,,1265883,-
PMIF.U,PIMCO Monthly Income Fund (Canada),Fixed Income,-,161000000,,42259,-
PMM,Purpose Multi-Strategy Market Neutral Fund,Alternative,-,45208250,,3009,-
PMNT,PIMCO Global Short Maturity Fund (Canada),Fixed Income,-,34687500,,15438,-
PPLN,Global X Equal Weight Canadian Pipelines Index ETF,Equity,-,99670167.50999999,,281039,-
PR,Lysander-Slater Preferred Share ActivETF,Preferred Share,-,91097034,,30750,-
PRA,Purpose Diversified Real Asset Fund,Asset Allocation,-,152891277.82,,31013,-
PREF,Quadravest Preferred Split Share ETF,Preferred Share,-,44517000,,21230,-
PRP,Purpose Conservative Income Fund,Equity,-,993500,,55,-
PSA,Purpose High Interest Savings Fund,Cash/Currency,-,3022114000,,987590,-
PSB,Invesco 1-5 Year Laddered Investment Grade Corporate Bond Index ETF,Fixed Income,-,551499302.5,,171072,-
PSU,Purpose US Cash Fund ETF Unit,-,-,-,,-,-
PSU.U,Purpose US Cash Fund,Cash/Currency,-,746633142.5,,263392,-
PXC,Invesco RAFI Canadian Index ETF,Equity,-,226139804.8,,16876,-
PXS,Invesco RAFI U.S. Index ETF II,Equity,-,44914880,,3218,-
PXS.U,Invesco RAFI U.S. Index ETF II,Equity,-,2007870,,120,-
PXU.F,Invesco RAFI U.S. Index ETF,Equity,-,55495049.99999999,,3218,-
PYF,Purpose Premium Yield Fund,Alternative,-,392883750,,136349,-
PYF.B,Purpose Premium Yield Fund,Alternative,-,1923999.9999999998,,1301,-
PYF.U,Purpose Premium Yield Fund,Alternative,-,9165000,,3201,-
PZW,Invesco RAFI Global Small-Mid ETF,Equity,-,23720360,,16823,-
PZW.F,Invesco RAFI Global Small-Mid ETF,Equity,-,8459000,,273,-
PZW.U,Invesco RAFI Global Small-Mid ETF,Equity,-,653600,,228,-
QAH,Mackenzie US Large Cap Equity Index ETF (CAD-Hedged),Equity,-,888977600,,11631,-
QASH,Mackenzie Canadian Ultra Short Bond Index ETF,Fixed Income,-,133239400.00000001,,51568,-
QBB,Mackenzie Canadian Aggregate Bond Index ETF,Fixed Income,-,1352287200,,32436,-
QBTL,AGF US Market Neutral Anti-Beta CAD-Hedged ETF,Alternative,-,415985000,,135535,-
QCE,Mackenzie Canadian Large Cap Equity Index ETF,Equity,-,227035200,,7947,-
QCLN,First Trust NASDAQ Clean Edge Green Energy ETF,Equity,-,4804800,,1017,-
QCN,Mackenzie Canadian Equity Index ETF,Equity,-,4908357600,,151062,-
QDX,Mackenzie International Equity Index ETF,Equity,-,1423121400,,48755,-
QDXB,Mackenzie Developed ex-North America Aggregate Bond Index ETF (CAD-Hedged),Fixed Income,-,35240000,,1853,-
QDXH,Mackenzie International Equity Index ETF (CAD-Hedged),Equity,-,35703800,,1054,-
QEBH,Mackenzie Emerging Markets Bond Index ETF (CAD-Hedged),Fixed Income,-,313170000,,20487,-
QEBL,Mackenzie Emerging Markets Local Currency Bond Index ETF,Fixed Income,-,167700000,,30203,-
QEE,Mackenzie Emerging Markets Equity Index ETF,Equity,-,127283416.80000001,,8679,-
QHY,Mackenzie US High Yield Bond Index ETF (CAD-Hedged),Fixed Income,-,198982000,,22468,-
QINF,Mackenzie Global Infrastructure Index ETF,Equity,-,30129749.999999996,,2428,-
QINF CN,Mackenzie Global Infrastructure Index ETF,-,-,-,,-,-
QLB,Mackenzie Canadian Government Long Bond Index ETF,Fixed Income,-,74723200,,1864,-
QMAX,Hamilton Technology YIELD MAXIMIZER TM ETF,Equity,-,703750642.72,,245029,-
QMAX.U,Hamilton Technology YIELD MAXIMIZER TM ETF,Equity,-,4613961.24,,5873,-
QMVP,HAMILTON CHAMPIONS TM U.S. Technology Index ETF,Equity,-,225084875,,296431,-
QQC,Invesco NASDAQ 100 Index ETF,Equity,-,1388025600,,303243,-
QQC.F,Invesco NASDAQ 100 Index ETF,Equity,-,1255321600,,39379,-
QQCC,Global X Nasdaq-100 Covered Call ETF,Equity,-,590287116.5,,139623,-
QQCC.U,Global X Nasdaq-100 Covered Call ETF,Equity,-,437894267.3,,23907,-
QQCE,Invesco ESG NASDAQ 100 Index ETF,Equity,-,788858000,,24368,-
QQCE.F,Invesco ESG NASDAQ 100 Index ETF,Equity,-,7287500,,2174,-
QQCI,Invesco NASDAQ 100 Income Advantage ETF,Equity,-,54684000,,17867,-
QQCI.F,Invesco NASDAQ 100 Income Advantage ETF,Equity,-,959500.0000000001,,13,-
QQCI.U,Invesco NASDAQ 100 Income Advantage ETF,Equity,-,981500,,465,-
QQCL,Global X Enhanced Nasdaq-100 Covered Call ETF,Equity,-,303485785.68,,162657,-
QQD,BetaPro NASDAQ-100 -2x Daily Bear ETF,Leverage/Inverse,-,61136417.02,,1738677,-
QQD.U,BetaPro NASDAQ-100 -2x Daily Bear ETF,Leverage/Inverse,-,43881582.989999995,,820,-
QQEQ,Invesco NASDAQ 100 Equal Weight Index ETF,Equity,-,13531500,,1935,-
QQEQ.F,Invesco NASDAQ 100 Equal Weight Index ETF,Equity,-,2569000,,715,-
QQI,BetaPro Nasdaq-100 Daily Inverse ETF,Leverage/Inverse,-,4957500,,5808,-
QQJR,Invesco NASDAQ Next Gen 100 Index ETF,Equity,-,2064000,,136,-
QQJR.F,Invesco NASDAQ Next Gen 100 Index ETF,Equity,-,210000,,20,-
QQQD,MegaShort (-3X) NASDAQ-100® Daily Leveraged Alternative ETF,Leverage/Inverse,-,7012500,,114668,-
QQQL,Global X Enhanced Nasdaq-100 Index ETF,Equity,-,7012500,,2202,-
QQQQ,Mackenzie NASDAQ 100 Index ETF,Equity,-,18082750,,1953,-
QQQT,Evolve NASDAQ Technology Index Fund,Equity,-,99450000,,10870,-
